"country_name","country_code","region","year","indicator_name","value"
"Canada","CAN","North America","1975","Energy imports, net (% of energy use)",-13.018307809907
"Canada","CAN","North America","1975","Arms imports (SIPRI trend indicator values)",2.23e+08
"Canada","CAN","North America","1975","Exports of goods and services (% of GDP)",22.0384529179154
"Canada","CAN","North America","1975","Imports of goods and services (% of GDP)",23.7072856077875
"Canada","CAN","North America","1975","Trade (% of GDP)",45.7457385257029
"Canada","CAN","North America","1975","Merchandise trade (% of GDP)",40.3722447703304
"Canada","CAN","North America","1975","Food imports (% of merchandise imports)",8.29776401014974
"Canada","CAN","North America","1975","Fuel imports (% of merchandise imports)",12.0467342415361
"Canada","CAN","North America","1975","Ores and metals imports (% of merchandise imports)",3.13030993216858
"Canada","CAN","North America","1975","Merchandise imports (current US$)",36106500000
"Canada","CAN","North America","1975","Merchandise imports from high-income economies (% of total merchandise imports)",88.9588208675415
"Canada","CAN","North America","1975","Food exports (% of merchandise exports)",13.6197041381463
"Canada","CAN","North America","1975","Fuel exports (% of merchandise exports)",16.5125895237941
"Canada","CAN","North America","1975","Ores and metals exports (% of merchandise exports)",13.6580390789927
"Canada","CAN","North America","1975","Merchandise exports (current US$)",34074200000
"Canada","CAN","North America","1975","Merchandise exports to high-income economies (% of total merchandise exports)",83.3828798821448
"Germany","DEU","Europe & Central Asia","1975","Energy imports, net (% of energy use)",45.085998694162
"Germany","DEU","Europe & Central Asia","1975","Arms imports (SIPRI trend indicator values)",1.874e+09
"Germany","DEU","Europe & Central Asia","1975","Exports of goods and services (% of GDP)",17.1575951576623
"Germany","DEU","Europe & Central Asia","1975","Imports of goods and services (% of GDP)",18.8679864923074
"Germany","DEU","Europe & Central Asia","1975","Trade (% of GDP)",36.0255816499697
"Germany","DEU","Europe & Central Asia","1975","Merchandise trade (% of GDP)",33.7792150922612
"Germany","DEU","Europe & Central Asia","1975","Food imports (% of merchandise imports)",14.6068563787678
"Germany","DEU","Europe & Central Asia","1975","Fuel imports (% of merchandise imports)",25.6347151726974
"Germany","DEU","Europe & Central Asia","1975","Ores and metals imports (% of merchandise imports)",6.10334406735019
"Germany","DEU","Europe & Central Asia","1975","Merchandise imports (current US$)",74930500000
"Germany","DEU","Europe & Central Asia","1975","Merchandise imports from high-income economies (% of total merchandise imports)",72.5256507967864
"Germany","DEU","Europe & Central Asia","1975","Food exports (% of merchandise exports)",4.55444090035666
"Germany","DEU","Europe & Central Asia","1975","Fuel exports (% of merchandise exports)",3.71189676946344
"Germany","DEU","Europe & Central Asia","1975","Ores and metals exports (% of merchandise exports)",2.76291686656255
"Germany","DEU","Europe & Central Asia","1975","Merchandise exports (current US$)",90175600000
"Germany","DEU","Europe & Central Asia","1975","Merchandise exports to high-income economies (% of total merchandise exports)",68.9674691173043
"France","FRA","Europe & Central Asia","1975","Energy imports, net (% of energy use)",73.5881130784013
"France","FRA","Europe & Central Asia","1975","Arms imports (SIPRI trend indicator values)",4.5e+07
"France","FRA","Europe & Central Asia","1975","Exports of goods and services (% of GDP)",18.7052062204192
"France","FRA","Europe & Central Asia","1975","Imports of goods and services (% of GDP)",17.7476335361731
"France","FRA","Europe & Central Asia","1975","Trade (% of GDP)",36.4528397565923
"France","FRA","Europe & Central Asia","1975","Merchandise trade (% of GDP)",29.5707537525355
"France","FRA","Europe & Central Asia","1975","Food imports (% of merchandise imports)",12.9117240142995
"France","FRA","Europe & Central Asia","1975","Fuel imports (% of merchandise imports)",22.8701663788712
"France","FRA","Europe & Central Asia","1975","Ores and metals imports (% of merchandise imports)",5.39125369897227
"France","FRA","Europe & Central Asia","1975","Merchandise imports (current US$)",53946700000
"France","FRA","Europe & Central Asia","1975","Merchandise imports from high-income economies (% of total merchandise imports)",71.5600379827594
"France","FRA","Europe & Central Asia","1975","Food exports (% of merchandise exports)",15.6364346114638
"France","FRA","Europe & Central Asia","1975","Fuel exports (% of merchandise exports)",2.73288875487048
"France","FRA","Europe & Central Asia","1975","Ores and metals exports (% of merchandise exports)",2.82560791000723
"France","FRA","Europe & Central Asia","1975","Merchandise exports (current US$)",53099700000
"France","FRA","Europe & Central Asia","1975","Merchandise exports to high-income economies (% of total merchandise exports)",61.2445066109688
"Israel","ISR","Middle East & North Africa","1975","Energy imports, net (% of energy use)",6.3556062257082
"Israel","ISR","Middle East & North Africa","1975","Arms imports (SIPRI trend indicator values)",1.654e+09
"Israel","ISR","Middle East & North Africa","1975","Exports of goods and services (% of GDP)",32.6344202944902
"Israel","ISR","Middle East & North Africa","1975","Imports of goods and services (% of GDP)",67.3156878046284
"Israel","ISR","Middle East & North Africa","1975","Trade (% of GDP)",99.9501080991186
"Israel","ISR","Middle East & North Africa","1975","Merchandise trade (% of GDP)",64.3439127773871
"Israel","ISR","Middle East & North Africa","1975","Food imports (% of merchandise imports)",15.533667932184
"Israel","ISR","Middle East & North Africa","1975","Fuel imports (% of merchandise imports)",15.3030020246068
"Israel","ISR","Middle East & North Africa","1975","Ores and metals imports (% of merchandise imports)",3.63675190082599
"Israel","ISR","Middle East & North Africa","1975","Merchandise imports (current US$)",5997400000
"Israel","ISR","Middle East & North Africa","1975","Merchandise imports from high-income economies (% of total merchandise imports)",52.1285781917837
"Israel","ISR","Middle East & North Africa","1975","Food exports (% of merchandise exports)",17.8902749648061
"Israel","ISR","Middle East & North Africa","1975","Fuel exports (% of merchandise exports)",0.00963811900669465
"Israel","ISR","Middle East & North Africa","1975","Ores and metals exports (% of merchandise exports)",2.27797528165834
"Israel","ISR","Middle East & North Africa","1975","Merchandise exports (current US$)",1940700000
"Israel","ISR","Middle East & North Africa","1975","Merchandise exports to high-income economies (% of total merchandise exports)",77.4524150581737
"Japan","JPN","East Asia & Pacific","1975","Energy imports, net (% of energy use)",90.1915693150205
"Japan","JPN","East Asia & Pacific","1975","Arms imports (SIPRI trend indicator values)",1.685e+09
"Japan","JPN","East Asia & Pacific","1975","Exports of goods and services (% of GDP)",12.5448940475832
"Japan","JPN","East Asia & Pacific","1975","Imports of goods and services (% of GDP)",12.566691326027
"Japan","JPN","East Asia & Pacific","1975","Trade (% of GDP)",25.1115853736102
"Japan","JPN","East Asia & Pacific","1975","Merchandise trade (% of GDP)",22.1657141215028
"Japan","JPN","East Asia & Pacific","1975","Food imports (% of merchandise imports)",17.8845837278622
"Japan","JPN","East Asia & Pacific","1975","Fuel imports (% of merchandise imports)",44.3312391051457
"Japan","JPN","East Asia & Pacific","1975","Ores and metals imports (% of merchandise imports)",10.8419576668416
"Japan","JPN","East Asia & Pacific","1975","Merchandise imports (current US$)",57860300000
"Japan","JPN","East Asia & Pacific","1975","Merchandise imports from high-income economies (% of total merchandise imports)",65.743855512493
"Japan","JPN","East Asia & Pacific","1975","Food exports (% of merchandise exports)",1.45051976909078
"Japan","JPN","East Asia & Pacific","1975","Fuel exports (% of merchandise exports)",0.394105160684423
"Japan","JPN","East Asia & Pacific","1975","Ores and metals exports (% of merchandise exports)",1.08495586258254
"Japan","JPN","East Asia & Pacific","1975","Merchandise exports (current US$)",55819100000
"Japan","JPN","East Asia & Pacific","1975","Merchandise exports to high-income economies (% of total merchandise exports)",58.6597792016019
"South Korea","KOR","East Asia & Pacific","1975","Energy imports, net (% of energy use)",65.6052340928503
"South Korea","KOR","East Asia & Pacific","1975","Arms imports (SIPRI trend indicator values)",6.34e+08
"South Korea","KOR","East Asia & Pacific","1975","Exports of goods and services (% of GDP)",25.3072321914084
"South Korea","KOR","East Asia & Pacific","1975","Imports of goods and services (% of GDP)",33.331520754033
"South Korea","KOR","East Asia & Pacific","1975","Trade (% of GDP)",58.6387529454414
"South Korea","KOR","East Asia & Pacific","1975","Merchandise trade (% of GDP)",53.5979336595976
"South Korea","KOR","East Asia & Pacific","1975","Food imports (% of merchandise imports)",14.1604337772384
"South Korea","KOR","East Asia & Pacific","1975","Fuel imports (% of merchandise imports)",19.0771350638201
"South Korea","KOR","East Asia & Pacific","1975","Ores and metals imports (% of merchandise imports)",4.662321283186
"South Korea","KOR","East Asia & Pacific","1975","Merchandise imports (current US$)",7.274e+09
"South Korea","KOR","East Asia & Pacific","1975","Merchandise imports from high-income economies (% of total merchandise imports)",90.4982348173689
"South Korea","KOR","East Asia & Pacific","1975","Food exports (% of merchandise exports)",13.2326414533409
"South Korea","KOR","East Asia & Pacific","1975","Fuel exports (% of merchandise exports)",2.05420901688785
"South Korea","KOR","East Asia & Pacific","1975","Ores and metals exports (% of merchandise exports)",1.30052722554367
"South Korea","KOR","East Asia & Pacific","1975","Merchandise exports (current US$)",4.945e+09
"South Korea","KOR","East Asia & Pacific","1975","Merchandise exports to high-income economies (% of total merchandise exports)",84.441384736428
"Saudi Arabia","SAU","Middle East & North Africa","1975","Energy imports, net (% of energy use)",-4057.42522454305
"Saudi Arabia","SAU","Middle East & North Africa","1975","Arms imports (SIPRI trend indicator values)",4.67e+08
"Saudi Arabia","SAU","Middle East & North Africa","1975","Exports of goods and services (% of GDP)",73.333738527928
"Saudi Arabia","SAU","Middle East & North Africa","1975","Imports of goods and services (% of GDP)",21.7328146842521
"Saudi Arabia","SAU","Middle East & North Africa","1975","Trade (% of GDP)",95.0665532121802
"Saudi Arabia","SAU","Middle East & North Africa","1975","Merchandise trade (% of GDP)",72.4483211280617
"Saudi Arabia","SAU","Middle East & North Africa","1975","Food imports (% of merchandise imports)",15.6372752937486
"Saudi Arabia","SAU","Middle East & North Africa","1975","Fuel imports (% of merchandise imports)",0.685357157759552
"Saudi Arabia","SAU","Middle East & North Africa","1975","Ores and metals imports (% of merchandise imports)",0.867190409764368
"Saudi Arabia","SAU","Middle East & North Africa","1975","Merchandise imports (current US$)",4213220000
"Saudi Arabia","SAU","Middle East & North Africa","1975","Merchandise imports from high-income economies (% of total merchandise imports)",73.3048534472529
"Saudi Arabia","SAU","Middle East & North Africa","1975","Food exports (% of merchandise exports)",0.0854797447734025
"Saudi Arabia","SAU","Middle East & North Africa","1975","Fuel exports (% of merchandise exports)",99.3166119398009
"Saudi Arabia","SAU","Middle East & North Africa","1975","Ores and metals exports (% of merchandise exports)",0.0150967233648829
"Saudi Arabia","SAU","Middle East & North Africa","1975","Merchandise exports (current US$)",29673300000
"Saudi Arabia","SAU","Middle East & North Africa","1975","Merchandise exports to high-income economies (% of total merchandise exports)",80.155035642111
"United States","USA","North America","1975","Energy imports, net (% of energy use)",14.8712458060153
"United States","USA","North America","1975","Arms imports (SIPRI trend indicator values)",3.45e+08
"United States","USA","North America","1975","Exports of goods and services (% of GDP)",8.21274859777503
"United States","USA","North America","1975","Imports of goods and services (% of GDP)",7.26670191595472
"United States","USA","North America","1975","Trade (% of GDP)",15.4794505137298
"United States","USA","North America","1975","Merchandise trade (% of GDP)",12.7143747820357
"United States","USA","North America","1975","Food imports (% of merchandise imports)",10.8350449084436
"United States","USA","North America","1975","Fuel imports (% of merchandise imports)",27.2475068019664
"United States","USA","North America","1975","Ores and metals imports (% of merchandise imports)",5.14575702875831
"United States","USA","North America","1975","Merchandise imports (current US$)",1.0588e+11
"United States","USA","North America","1975","Merchandise imports from high-income economies (% of total merchandise imports)",71.317083803224
"United States","USA","North America","1975","Food exports (% of merchandise exports)",19.6703409770165
"United States","USA","North America","1975","Fuel exports (% of merchandise exports)",4.212468496815
"United States","USA","North America","1975","Ores and metals exports (% of merchandise exports)",3.35627164331414
"United States","USA","North America","1975","Merchandise exports (current US$)",1.08856e+11
"United States","USA","North America","1975","Merchandise exports to high-income economies (% of total merchandise exports)",68.8746247619507
"Canada","CAN","North America","1976","Energy imports, net (% of energy use)",-6.48667935266337
"Canada","CAN","North America","1976","Arms imports (SIPRI trend indicator values)",2.8e+07
"Canada","CAN","North America","1976","Exports of goods and services (% of GDP)",21.7567501470719
"Canada","CAN","North America","1976","Imports of goods and services (% of GDP)",22.4085931572471
"Canada","CAN","North America","1976","Trade (% of GDP)",44.1653433043191
"Canada","CAN","North America","1976","Merchandise trade (% of GDP)",39.1340090170728
"Canada","CAN","North America","1976","Food imports (% of merchandise imports)",8.14586029292989
"Canada","CAN","North America","1976","Fuel imports (% of merchandise imports)",10.8161123047463
"Canada","CAN","North America","1976","Ores and metals imports (% of merchandise imports)",2.80654288690194
